05-08 19:44:43.137  9792  9812 I TestRunner: started: insertAndQuery5kSubjects(com.example.benchmark.option1.BiometricTemplateWriteReadBenchmark)
05-08 19:44:45.136  9792  9812 I option1 : Benchmark option 1...
05-08 19:44:45.146  9792  9812 I option1 : 0 KB
05-08 19:44:47.401  9792  9812 I option1 : Insert time: 2254 ms
05-08 19:44:47.402  9792  9812 I option1 : 45512 KB
05-08 19:44:48.421  9792  9812 D Benchmark: -- Running com.example.benchmark.option1.BiometricTemplateWriteReadBenchmark#insertAndQuery5kSubjects --
05-08 19:44:56.568  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:56.568  9792  9812 I option1 : 17, 333
05-08 19:44:56.586  9792  9812 I option1 : Count result: 10000
05-08 19:44:56.621  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:56.658  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:56.721  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:56.815  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:56.910  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:56.911  9792  9812 I option1 : 17, 325
05-08 19:44:56.928  9792  9812 I option1 : Count result: 10000
05-08 19:44:56.965  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:57.005  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:57.069  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:57.166  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:57.261  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:57.261  9792  9812 I option1 : 17, 333
05-08 19:44:57.278  9792  9812 I option1 : Count result: 10000
05-08 19:44:57.315  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:57.354  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:57.417  9792  9812 I option1 : Query result size: 2000 subjects, 4000 templates
05-08 19:44:57.513  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:57.607  9792  9812 I option1 : Query result size: 3000 subjects, 6000 templates
05-08 19:44:57.607  9792  9812 I option1 : 17, 329
05-08 19:44:57.624  9792  9812 I option1 : Count result: 10000
05-08 19:44:57.661  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
05-08 19:44:57.699  9792  9812 I option1 : Query result size: 1000 subjects, 2000 templates
